test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
15,BLOOD C/E,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
15,BLOOD C/E,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
15,BLOOD C/E,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
15,BLOOD C/E,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
15,BLOOD C/E,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Red Cell Dist. Width (RDW-SD),88; 2884,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
15,BLOOD C/E,,Mean Platelet Volume (MPV),90; 2885,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Platelet Distribution Width (PDW),91; 2886,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Plateletcrit (PCT),92; 1490,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
15,BLOOD C/E,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
15,BLOOD C/E,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
15,BLOOD C/E,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
15,BLOOD C/E,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
15,BLOOD C/E,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
15,BLOOD C/E,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
15,BLOOD C/E,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
15,BLOOD C/E,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
20,CALCIUM/CREATININE RATIO,,Creatinine (Spot Urine),127; 1406; 1729; 1837; 1958; 2180; 2230; 2261,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
32,DLC,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
32,DLC,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
32,DLC,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
32,DLC,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
32,DLC,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
32,DLC,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
32,DLC,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
40,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar 1-HRS,153; 1186,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
40,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar Fasting,154; 1187,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
42,HB. ELECTROPHORESIS,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
42,HB. ELECTROPHORESIS,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
42,HB. ELECTROPHORESIS,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
42,HB. ELECTROPHORESIS,,Malarial Parasite (MP),165; 1016; 1085; 1239; 2282,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
42,HB. ELECTROPHORESIS,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
42,HB. ELECTROPHORESIS,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
42,HB. ELECTROPHORESIS,,Eosinophils,20; 56; 180; 1752; 1844; 1976,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
42,HB. ELECTROPHORESIS,,Blast cells,130; 181,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
42,HB. ELECTROPHORESIS,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,HB-A,184; 1263; 1338; 2582,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
42,HB. ELECTROPHORESIS,,HB-A2,187; 1339; 1823; 2583,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
54,PERIPHERAL BLOOD SMEARS,,Malarial Parasite (MP),165; 1016; 1085; 1239; 2282,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
54,PERIPHERAL BLOOD SMEARS,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
54,PERIPHERAL BLOOD SMEARS,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
54,PERIPHERAL BLOOD SMEARS,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
54,PERIPHERAL BLOOD SMEARS,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
54,PERIPHERAL BLOOD SMEARS,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
60,PROTHROMBIN TIME (PT with INR),,PT,204; 1475; 1506; 1849; 2019; 2057; 2280; 2564,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
60,PROTHROMBIN TIME (PT with INR),,INR,15; 16; 17; 205; 878; 1476; 1507; 1637; 1711; 1802; 1867; 1873; 2021; 2193; 2281; 2565; 2936; 2938; 2979; 2980; 2982,21 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
349,BLOOD GROUP & Rh FACTOR,,Blood Group,587; 1240; 2568,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
349,BLOOD GROUP & Rh FACTOR,,RH Factor,588; 1241; 2569,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
5489,BLOOD C/E WITH ESR,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
5489,BLOOD C/E WITH ESR,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
5489,BLOOD C/E WITH ESR,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5489,BLOOD C/E WITH ESR,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5489,BLOOD C/E WITH ESR,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
5489,BLOOD C/E WITH ESR,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5489,BLOOD C/E WITH ESR,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
5489,BLOOD C/E WITH ESR,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5489,BLOOD C/E WITH ESR,,Red Cell Dist. Width (RDW-SD),88; 2884,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5489,BLOOD C/E WITH ESR,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5489,BLOOD C/E WITH ESR,,Mean Platelet Volume (MPV),90; 2885,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5489,BLOOD C/E WITH ESR,,Platelet Distribution Width (PDW),91; 2886,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5489,BLOOD C/E WITH ESR,,Plateletcrit (PCT),92; 1490,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5489,BLOOD C/E WITH ESR,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5489,BLOOD C/E WITH ESR,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
5489,BLOOD C/E WITH ESR,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
5489,BLOOD C/E WITH ESR,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5489,BLOOD C/E WITH ESR,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5489,BLOOD C/E WITH ESR,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
5489,BLOOD C/E WITH ESR,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
5489,BLOOD C/E WITH ESR,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
5489,BLOOD C/E WITH ESR,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5599,DLC,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5599,DLC,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5599,DLC,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5599,DLC,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
5599,DLC,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5599,DLC,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
5599,DLC,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5700,BLOOD C/E,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
5700,BLOOD C/E,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
5700,BLOOD C/E,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5700,BLOOD C/E,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5700,BLOOD C/E,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
5700,BLOOD C/E,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
5700,BLOOD C/E,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
5700,BLOOD C/E,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5700,BLOOD C/E,,Red Cell Dist. Width (RDW-SD),88; 2884,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5700,BLOOD C/E,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5700,BLOOD C/E,,Mean Platelet Volume (MPV),90; 2885,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5700,BLOOD C/E,,Platelet Distribution Width (PDW),91; 2886,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5700,BLOOD C/E,,Plateletcrit (PCT),92; 1490,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5700,BLOOD C/E,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5700,BLOOD C/E,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
5700,BLOOD C/E,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
5700,BLOOD C/E,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
5700,BLOOD C/E,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5700,BLOOD C/E,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
5700,BLOOD C/E,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
5700,BLOOD C/E,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
5700,BLOOD C/E,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
5701,PROTHROMBIN TIME (PT with INR),,PT,204; 1475; 1506; 1849; 2019; 2057; 2280; 2564,8 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
5701,PROTHROMBIN TIME (PT with INR),,INR,15; 16; 17; 205; 878; 1476; 1507; 1637; 1711; 1802; 1867; 1873; 2021; 2193; 2281; 2565; 2936; 2938; 2979; 2980; 2982,21 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
10552,Cross Match & Screening,,Donor Heamoglobin (HB),140; 1140,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10552,Cross Match & Screening,,HBsAg (Screening),114; 222; 765; 885; 932; 1258; 2100; 2274,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
10552,Cross Match & Screening,,Anti HCV (Screening),115; 2114,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10552,Cross Match & Screening,,RPR (VDRL),117; 2292,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
10701,CBC with Peripheral Film,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
10701,CBC with Peripheral Film,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
10701,CBC with Peripheral Film,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
10701,CBC with Peripheral Film,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
10701,CBC with Peripheral Film,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
10701,CBC with Peripheral Film,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
10701,CBC with Peripheral Film,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
10701,CBC with Peripheral Film,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
10701,CBC with Peripheral Film,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
10701,CBC with Peripheral Film,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
10701,CBC with Peripheral Film,,Eosinophils,20; 56; 180; 1752; 1844; 1976,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
10701,CBC with Peripheral Film,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,"Lymphocyte, Absolute",99; 1446; 1664,3 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
10701,CBC with Peripheral Film,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
11972,CALCIUM/CREATININE RATIO,,Creatinine (Spot Urine),127; 1406; 1729; 1837; 1958; 2180; 2230; 2261,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
11977,CREATININE (24 hrs urine),,Creatinine (24 hrs urine),138; 918; 2380,3 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
11977,CREATININE (24 hrs urine),,Total Volume,139; 1395; 1949; 2072,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11981,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar Fasting,154; 1187,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11981,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar 1-HRS,153; 1186,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11983,HB. ELECTROPHORESIS,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
11983,HB. ELECTROPHORESIS,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
11983,HB. ELECTROPHORESIS,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
11983,HB. ELECTROPHORESIS,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
11983,HB. ELECTROPHORESIS,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
11983,HB. ELECTROPHORESIS,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11983,HB. ELECTROPHORESIS,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11983,HB. ELECTROPHORESIS,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
11983,HB. ELECTROPHORESIS,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
11983,HB. ELECTROPHORESIS,,Eosinophils,20; 56; 180; 1752; 1844; 1976,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
11983,HB. ELECTROPHORESIS,,Blast cells,130; 181,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11983,HB. ELECTROPHORESIS,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11983,HB. ELECTROPHORESIS,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11983,HB. ELECTROPHORESIS,,HB-A,184; 1263; 1338; 2582,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11983,HB. ELECTROPHORESIS,,HB-A2,187; 1339; 1823; 2583,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11986,Peripheral blood Film,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
11986,Peripheral blood Film,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
11986,Peripheral blood Film,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11986,Peripheral blood Film,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
11986,Peripheral blood Film,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
11990,Reticulocyte Count,,Reticulocyte Count,207; 879; 962; 1237; 1340; 2091; 2349,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
11990,Reticulocyte Count,,Absolute Reticulocyte Count,46; 2244,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12280,Complete Blood Count- CBC,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
12280,Complete Blood Count- CBC,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12280,Complete Blood Count- CBC,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
