test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
12240,Serum Electrolyte,,Calcium,596; 689; 1201; 1650; 2228; 2491; 2540,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12251,Iron Studies  (Iron & TIBC),,Iron,646; 691; 1409; 2453,4 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
12251,Iron Studies  (Iron & TIBC),,T.I.B.C.,645; 1822; 2452; 2495,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
12298,Bilirubin,,Bilirubin Total,585; 614; 768; 788; 867; 928; 1124; 1424; 1462; 1466; 1501; 1738; 1779; 2015; 2062; 2064; 2278; 2528; 2546; 2727,20 master parameters share this normalized name (unit disambiguation narrowed to 20),medium
12298,Bilirubin,,Direct Bilirubin,1018; 1631; 1734; 1839; 1979; 2332; 2836,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12298,Bilirubin,,Indirect Bilirubin,1019; 1442; 1632; 1662; 1677; 1710; 1735; 1794; 1840; 1843; 1866; 1980; 2279; 2333; 2838; 2925; 2934; 2940,18 master parameters share this normalized name (unit disambiguation narrowed to 18),medium
12318,Lipid Profile,,Serum Cholesterol,620; 862; 959; 1775; 1811; 1890; 2042; 2561,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
12318,Lipid Profile,,Triglycerides,621; 926; 1773; 1812; 1891; 2043; 2526,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
12318,Lipid Profile,,HDL Cholesterol,611; 622; 772; 1088; 1188; 1486; 1776; 1787; 1892; 2044; 2061; 2118; 2527; 2562; 2706,15 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12318,Lipid Profile,,LDL Cholesterol,613; 771; 1089; 1231; 1487; 1777; 1803; 2045; 2119; 2563; 2707; 2708; 2935,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
12318,Lipid Profile,,Cholesterol / HDL Cholesterol Ratio,623; 774; 1090; 1232; 1488; 1667; 1704; 1778; 1790; 1804; 1847; 1870; 2120; 2705; 2924,15 master parameters share this normalized name (unit disambiguation narrowed to 15),medium
12318,Lipid Profile,,V.L.D.L,212; 624; 1091; 1489; 1668; 1774; 1788; 1848; 1871; 2183; 2928; 2937,12 master parameters share this normalized name (unit disambiguation narrowed to 12),medium
11998,HBsAg Elisa,,Hepatitis B Surface Antigen,223; 784; 1279; 1796; 1903; 2602,6 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
11998,HBsAg Elisa,,HBsAg Patient's index value,1797; 2128,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12256,Anti HCV Elisa,,Anti HCV Patient's index value,1799; 2148,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12289,Semen Analysis,,Volume,134; 661; 1050; 1098; 1307; 1433; 1674; 1995; 2129; 2213; 2747; 2927,12 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
12289,Semen Analysis,,Color,316; 338; 1051; 1149; 1686; 1996; 2496; 2786; 2931; 2963,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
12289,Semen Analysis,,Liquification Time,1049; 1997,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
12289,Semen Analysis,,Consistency,317; 1099; 1287; 1687; 1998; 2621; 2748; 2929,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
