test_id,test_name,status,reason,mapped_parameter_count
184,AMYLASE (FLUID),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
185,AMYLASE (SPOT URINE),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
186,BASOPHIL COUNT,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
187,BILE PIGMENT (URINE),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
188,BILE SALT (URINE),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
191,BUN/ CREATININE RATIO,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
193,CHOLESTROL (FLUID),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
194,Coombs Test Indirect,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
195,Coombs Test Direct,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
197,CREATININE (FLUID),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
198,ESR,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
203,L.D.H (CSF),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
204,LIPASE (FLUID),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
206,PHOSPHATE (SPOT URINE),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
207,Platelets Count,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
208,RED CELL FOLIC ACID,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
210,V.L.D.L,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
211,WBC Count (TLC),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
217,Bleeding Time (BT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
218,Clotting Time (CT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
220,APTT,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
227,MALARIAL PARASITE (THICK & THIN),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
229,ABSOLUTE NEUTROPHIL COUNT,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
390,ACE levels ( Angiotensin converting levels ),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
458,ANA Screen IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
460,ASO TITER (Qualitative),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
461,Dengue NS1 Antigen (ELISA),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
462,HBsAg Screening,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
463,HCV Screening,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
465,R.A FACTOR IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
466,R.A FACTOR IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
467,Rh. Antibodies Titer,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
474,Rheumatoid Factor (Quantitative),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
506,VDRL BY ELISA,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
629,AFP- Alpha fetoprotein,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
