parameterExternalId,testExternalId,raw_normal_range,unit,reason
p2128,t2170,Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10,IU/ml,unrecognized pattern
p2129,t2171,Negative: < 0.90Grayzone: 0.90 to 1.10Positive: > 1.10,IU/ml,unrecognized pattern
p2152,t2175,Negative: < 9.0Borderline: 9.0 to 11.0Positive: > 11.0,,unrecognized pattern
p2153,t2176,Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1,,unrecognized pattern
p2166,t2180,Male: < 87Female:Follicular Phase: 15 - 112Periovulatory Phase: 136 - 251Luteal Phase: 48 - 172Post Menopausal: 10 - 66Hormonal Contraceptives: 15 - 95,pg/mL,unrecognized pattern
p2167,t2181,Male : < 87Female :Follicular Phase 15 - 112Preovulatory Phase 136 - 251Luteal Phase 48 - 172Post Menopausal 10 - 66Hormonal Contraceptives 15 - 95,pg/mL,unrecognized pattern
p2189,t2186,Normal          <5.7%Pre-Diabetes  5.7 - 6.4%Diabetes:       >6.4%,%,unrecognized pattern
p2197,t2188,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,U/ml,unrecognized pattern
p2198,t2189,Negative: < 0.9Borderline: 1.0 - 1.1Positive: > 1.2,U/ml,unrecognized pattern
p2199,t2190,< 0.8 Negative0.8 - 1.2 Borderline> 1.2 Positive,S/CO,unrecognized pattern
p2205,t2191,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,IU/ml,unrecognized pattern
p2206,t2192,Negative: < 0.9Equivocal: 0.9 to 1.1Positive: > 1.1,IU/ml,unrecognized pattern
p2218,t2199,Child upto 12 years: < 10Adult (Normal): 0.7 - 9.0Diabetic (Type 2): 0.7 - 25,uIU/ml,unrecognized pattern
p2217,t2200,1 - 5 years 45 - 3056 - 10 years 50 - 41011 - 15 years 80 - 90016 - 20 years 75 - 850> 20 years 60 - 350,ng/ml,unrecognized pattern
p2057,t2203,Negative < 10.0Positive > 10.0,U/ml,unrecognized pattern
p2249,t2206,Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1,-,unrecognized pattern
p2250,t2207,Negative: < 0.8Borderline: 0.8 to 1.2Positive: > 1.2,-,unrecognized pattern
p2287,t2213,(See below),IU/ml,unrecognized pattern
p2305,t2214,Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1,IU/mL,unrecognized pattern
p2306,t2215,Negative: < 0.8Equivocal: 0.8 to 0.9Positive: > 1.0,IU/ml,unrecognized pattern
p2320,t2216,Males : 25 - 350Females : 13 - 232,ng/ml,unrecognized pattern
p2324,t2218,Therapeutic Level: 0.6 - 1.2Toxic Level: > 2.0,mmol/l,unrecognized pattern
p2349,t2220,Non-Reactive: < 0.9Borderline: 0.9 to 1.1Reactive: > 1.1,,unrecognized pattern
p2352,t2221,Negative,-,unrecognized pattern
p2056,t2298,Female:< 10 years 0.08 - 10.610 - 20 -  0.62 - 10.921 - 30 -  0.08 - 10.231 - 40 -  0.15 - 10.641 - 50 -  0.08 - 6.12> 50    -  0.08 - 0.40Male:1 - 11  -  39.1 - 33012 - 20 -  1.15 - 142> 20    -  0.60 - 18.20,ng/mL,unrecognized pattern
p2198,t2311,Negative < 5.0Borderline 5 - 10Positive >10.0,IU/ml,unrecognized pattern
p2150,t2325,0.0-1.35  Recommended that each laboratory   establish its own reference range.,mg/L,unrecognized pattern
p2362,t2114,Negative,,unrecognized pattern
p2142,t2041,Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0,mg/dl,unrecognized pattern
p2114,t2241,Men : 24 - 204Women : 24 - 173,U/L,unrecognized pattern
p2316,t2242,Adult:8.4 - 10.2Children:7.6 - 11.0,mg/dl,unrecognized pattern
p2223,t2249,Adult: 240-480,U/L,unrecognized pattern
p2226,t2250,Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190,mg/dl,unrecognized pattern
p2266,t2251,Adult: 2.5 - 5.0Child: 4.0 - 7.0,mg/dl,unrecognized pattern
p2364,t2252,Negative,,unrecognized pattern
p2318,t2258,Desirable: < 200Boderline High: 200 - 239High: > 240,mg/dl,unrecognized pattern
p2325,t2264,Newbonr 1.2 - 2.6Children 1.5 - 2.3Women 1.9 - 2.5Men 1.8 - 2.6,mg/dl,unrecognized pattern
p2350,t2267,Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500,mg/dl,unrecognized pattern
p2347,t2270,Adult: 6.6 - 8.7ChildPre-matures: 3.4 - 5.0Newborns: 4.6 - 6.8Upto 1 Years: 6.0 - 8.0Above 1 Years: 4.8 - 7.6,g/dL,unrecognized pattern
p2326,t2302,Adults: 2.5 - 4.5Child:  4.0 - 7.0,mg/dl,unrecognized pattern
