legacy_test_id,legacy_test_name,legacy_parameter_name,legacy_unit,legacy_type,canonical_parameterExternalId,canonical_name,canonical_defaultUnit,canonical_resultType,unit_mismatch_flag,type_mismatch_flag
12104,Anti Thyroglobulin Antibodies (Anti TG),Anti Thyroglobulin Antibodies (Anti TG),IU/ml,Decimal,p2073,Anti Thyroglobulin Antibodies (Anti TG),IU/ml,numeric,,
12105,Anti Thyroid Peroxidase (Blood TPO),Anti Thyroid Peroxidase (Anti TPO),IU/ml,Text,p2074,Anti Thyroid Peroxidase (Anti TPO),IU/ml,text,,
12013,Anti Tissue Transglutaminase IgA,Anti Tissue Transglutaminase IgA,U/ml,Decimal,p2075,Anti Tissue Transglutaminase IgA,U/ml,numeric,,
12014,Anti Tissue Transglutaminase IgG,Anti Tissue Transglutaminase IgG,U/mL,Decimal,p2076,Anti Tissue Transglutaminase IgG,U/mL,numeric,,
12284,Urine Complete Examination,Appearance,,Text,p2077,Appearance,,text,,
12283,APTT,APTT,Sec,Decimal,p2078,APTT,Seconds,numeric,UNIT_MISMATCH,
12322,"PT, APTT, INR",APTT,Seconds,Decimal,p2078,APTT,Seconds,numeric,UNIT_MISMATCH,
11957,APTT,APTT,Seconds,Decimal,p2078,APTT,Seconds,numeric,UNIT_MISMATCH,
12305,APTT,APTT,Sec.,Decimal,p2078,APTT,Seconds,numeric,UNIT_MISMATCH,
12322,"PT, APTT, INR",APTT Control,Seconds,Decimal,p2079,APTT Control,Seconds,numeric,,
11995,ASO TITER (Qualitative),ASO titer,lu/ml,Text,p2080,ASO titer,lu/ml,text,,
15,BLOOD C/E,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
32,DLC,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
54,PERIPHERAL BLOOD SMEARS,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
5489,BLOOD C/E WITH ESR,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
5599,DLC,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
5700,BLOOD C/E,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
10701,CBC with Peripheral Film,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
11986,Peripheral blood Film,Atypical Mononuclear/ Blast cells,%,Decimal,p2081,Atypical Mononuclear/ Blast cells,%,numeric,,
12284,Urine Complete Examination,Bacteria,,Text,p2082,Bacteria,,text,,
15,BLOOD C/E,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
32,DLC,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
42,HB. ELECTROPHORESIS,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
54,PERIPHERAL BLOOD SMEARS,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
5489,BLOOD C/E WITH ESR,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
5599,DLC,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
5700,BLOOD C/E,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
10701,CBC with Peripheral Film,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
11983,HB. ELECTROPHORESIS,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
11986,Peripheral blood Film,Band Cells,%,Decimal,p2083,Band Cells,%,numeric,,
15,BLOOD C/E,"Basophil, Absolute",*10^9/l,Decimal,p2084,"Basophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5489,BLOOD C/E WITH ESR,"Basophil, Absolute",*10^9/l,Decimal,p2084,"Basophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
5700,BLOOD C/E,"Basophil, Absolute",*10^9/l,Decimal,p2084,"Basophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
10701,CBC with Peripheral Film,"Basophil, Absolute",/mm3,Decimal,p2084,"Basophil, Absolute",*10^9/l,numeric,UNIT_MISMATCH,
15,BLOOD C/E,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
32,DLC,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
42,HB. ELECTROPHORESIS,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
54,PERIPHERAL BLOOD SMEARS,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
5489,BLOOD C/E WITH ESR,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
5599,DLC,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
5700,BLOOD C/E,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
10701,CBC with Peripheral Film,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
11983,HB. ELECTROPHORESIS,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
11986,Peripheral blood Film,Basophils,%,Decimal,p2085,Basophils,%,numeric,,
12172,SERUM PROTEIN ELECTROPHORESIS,Beta,g/dL,Decimal,p2086,Beta,g/dL,numeric,,
12016,Beta 2 Glycoprotein-1 IgG,Beta 2 Glycoprotein-1 IgG,U/ml,Decimal,p2087,Beta 2 Glycoprotein-1 IgG,U/ml,numeric,,
12017,Beta 2 Glycoprotein-1 IgM,Beta 2 Glycoprotein-1 IgM,U/ml,Text,p2088,Beta 2 Glycoprotein-1 IgM,U/ml,text,,
12018,Beta HCG,BETA HCG,mIU/ml,Decimal,p2089,BETA HCG,mIU/ml,numeric,,
12284,Urine Complete Examination,Bilirubin,,Text,p2090,Bilirubin,,text,,
12201,BILIRUBIN CONJUGATED,Bilirubin Conjugated,mg/dl,Decimal,p2091,Bilirubin Conjugated,mg/dl,numeric,,
347,BILIRUBIN TOTAL,Bilirubin Total,mg/dl,Decimal,p2092,Bilirubin Total,mg/dl,numeric,,
12298,Bilirubin,Bilirubin Total,mg/dl,Decimal,p2092,Bilirubin Total,mg/dl,numeric,,
12202,BILIRUBIN UNCONJUGATED,Bilirubin Unconjugated,mg/dl,Formula,p2093,Bilirubin Unconjugated,mg/dl,numeric,,
42,HB. ELECTROPHORESIS,Blast Cells,%,Text,p2094,Blast Cells,%,text,,
11983,HB. ELECTROPHORESIS,Blast Cells,%,Text,p2094,Blast Cells,%,text,,
12301,Bleeding Time (BT),Bleeding Time (BT),minutes,Text,p2095,Bleeding Time (BT),minutes,text,,
12035,Stool Complete Examination,Blood,,Text,p2096,Blood,,text,,
12284,Urine Complete Examination,Blood,,Text,p2096,Blood,,text,,
10552,Cross Match & Screening,Blood Bag Number,-,Text,p2097,Blood Bag Number,-,text,,
12299,CROSS MATCH with Screening,Blood Bag Number,-,Text,p2097,Blood Bag Number,-,text,,
10552,Cross Match & Screening,Blood Collection Date,-,Date,p2098,Blood Collection Date,-,text,,
12299,CROSS MATCH with Screening,Blood Collection Date,-,Date,p2098,Blood Collection Date,-,text,,
12221,GLUCOSE TOLERANCE TEST (G.T.T),Blood Glucose 1 hr.,mg/dl,Decimal,p2099,Blood Glucose 1 hr.,mg/dl,numeric,,
12221,GLUCOSE TOLERANCE TEST (G.T.T),Blood Glucose 2 hrs.,mg/dl,Decimal,p2100,Blood Glucose 2 hrs.,mg/dl,numeric,,
12203,Blood Glucose Fasting (FBS),Blood Glucose Fasting,mg/dl,Decimal,p2101,Blood Glucose Fasting,mg/dl,numeric,,
12221,GLUCOSE TOLERANCE TEST (G.T.T),Blood Glucose Fasting,mg/dl,Decimal,p2101,Blood Glucose Fasting,mg/dl,numeric,,
349,BLOOD GROUP & Rh FACTOR,Blood Group,,Text,p2102,Blood Group,,text,,
12292,Blood Group,Blood Group,,Text,p2102,Blood Group,,text,,
40,GCT (GLUCOSE CHALLANGE TEST),Blood Sugar 1-HRS,mg/dl,Decimal,p2103,Blood Sugar 1-HRS,mg/dl,numeric,,
11981,GCT (GLUCOSE CHALLANGE TEST),Blood Sugar 1-HRS,mg/dl,Decimal,p2103,Blood Sugar 1-HRS,mg/dl,numeric,,
11981,GCT (GLUCOSE CHALLANGE TEST),Blood Sugar - 2HRS,mg/dl,Integer,p2104,Blood Sugar - 2HRS,mg/dl,numeric,,
40,GCT (GLUCOSE CHALLANGE TEST),Blood Sugar Fasting,mg/dl,Decimal,p2105,Blood Sugar Fasting,mg/dl,numeric,,
11981,GCT (GLUCOSE CHALLANGE TEST),Blood Sugar Fasting,mg/dl,Decimal,p2105,Blood Sugar Fasting,mg/dl,numeric,,
12255,URINE SUGAR FASTING,Blood Sugar Fasting,mg/dl,Decimal,p2105,Blood Sugar Fasting,mg/dl,numeric,,
12204,Blood Sugar Random (RBS),Blood Sugar Random,mg/dl,Decimal,p2106,Blood Sugar Random,mg/dl,numeric,,
12205,Blood Urea,Blood Urea Nitrogen (BUN),mg/dl,Decimal,p2107,Blood Urea Nitrogen (BUN),mg/dl,numeric,,
12206,Blood Urea Nitrogen (BUN),Blood Urea Nitrogen (BUN),mg/dl,Decimal,p2107,Blood Urea Nitrogen (BUN),mg/dl,numeric,,
12234,RFT (RENAL FUNCTION TEST),Blood Urea Nitrogen (BUN),mg/dl,Decimal,p2107,Blood Urea Nitrogen (BUN),mg/dl,numeric,,
10552,Cross Match & Screening,Bovine Albumin Phase at 37 C,-,Text,p2108,Bovine Albumin Phase at 37 C,-,text,,
10552,Cross Match & Screening,Bovine Albumin Phase at R.T.,-,Text,p2109,Bovine Albumin Phase at R.T.,-,text,,
12106,BRUCELLA TEST (IgG),Brucella IgG,IU/ml,Decimal,p2110,Brucella IgG,IU/ml,numeric,,
12107,BRUCELLA TEST (IgM),Brucella IgM,IU/ml,Decimal,p2111,Brucella IgM,IU/ml,numeric,,
19,BUN/ CREATININE RATIO,BUN/Creatinine Ratio,,Decimal,p2112,BUN/Creatinine Ratio,,numeric,,
11971,BUN/ CREATININE RATIO,BUN/Creatinine Ratio,,Decimal,p2112,BUN/Creatinine Ratio,,numeric,,
