"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","201","pH (Urine)","","","","Descriptive","List","0 - 250","0 - 99999"
"","202","Ketone (Urine)","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","203","Phosphate Spot Urine","400 - 1300","mg/24 Hours","","Standard","Decimal","0 - 3900","400 - 1300"
"","204","PT","10.2 - 13.5","sec.","","Standard","Decimal","0 - 40.5","10.2 - 13.5"
"","205","INR","0.8 - 1.1","Ratio","","Standard","Decimal","0 - 99","0.8 - 1.1"
"","206","Red Cell Folate","4.5 - 45.3","nmol/l","","Standard","Decimal","0 - 135.9","4.5 - 45.3"
"","207","Reticulocyte Count","Adult: 0.20 - 2.0Newborn: 2.00 - 6.0","%","","Standard","Decimal","0 - 100","0.2 - 6"
"","208","Total Lipids","400 - 900","mg/dl","","Standard","Decimal","0 - 2700","400 - 900"
"","209","Unionized Calcium","4 - 5.5","mg/dl","","Standard","Decimal","0 - 16.5","4 - 5.5"
"","210","Urea (Spot Urine)","15 - 40","mg/dl","","Standard","Decimal","0 - 120","15 - 40"
"","211","Uric Acid (Spot Urine)","(See below)","mg/dl","","Standard","Decimal","0 - 500","0 - 99999"
"","212","V.L.D.L","Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100","mg/dl","","Standard","Decimal","0 - 120","0 - 40"
"","213","Occult Blood","","","","Standard","Text","0 - 250","0 - 99999"
"","214","Pus Cells","Nil","","Nil","Standard","Text","0 - 250","0 - 99999"
"","215","RBC'S","-","/cmm","","Standard","Decimal","0 - 250","0 - 99999"
"","216","A.N.A Screen IgG","","","","Descriptive","Text","0 - 250","0 - 99999"
"","217","Anti HIV - 1&2 (ICT)","Negative","","","Standard","List","0 - 500","0 - 99999"
"","218","Anti HIV 1&2 Ellisa","","","","Descriptive","Text","0 - 500","0 - 99999"
"","219","Patient's Value","Negative: < 20Positive: > 20","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","220","ASO titer","Adult: Less than 200Child: Less than 150","lu/ml","","Standard","Decimal","0 - 600","0 - 200"
"","221","Dengue NS1 Antigen","","","","Descriptive","Text","0 - 500","0 - 99999"
"","222","HBsAg Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","223","Hepatitis B Surface Antigen","","","","Descriptive","List","0 - 500","0 - 99999"
