"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","1511","IgE","1-190","IU/ml","","Standard","Text","0 - 500","0 - 190"
"","1512","Free T3","2.0 - 4.2","pg/mL","","Standard","Decimal","0 - 75","2 - 4.2"
"","1513","FREE T4","8.9 - 17.2","pmol/l","","Standard","Text","0 - 38","9 - 22.2"
"","1514","TSH","0.3-4.23  Day     :1.1-17.010 Weeks   :0.6-10.014 Months  :0.4-7.05  Years   :0.4-6.014 Years   :0.4-5.0Adult      :0.4-4.0Child: 0.40 - 7.00","mIU/L","","Standard","Decimal","0 - 140","0.3 - 4.2"
"","1515","FSH","Male:1.5-11.8mIU/mlFemale: Follicular phase 3.2-15mIU/mlovulatory phase 7.5-20mIU/mlluteal phase 1.3-11mIU/mlpostmenopause 36-138mIU/ml","mIU/ml","","Standard","Decimal","0 - 453","1.3 - 151"
"","1516","Urine for Pregnancy Test","","","","Descriptive","List","0 - 500","0 - 99999"
"","1517","Total Count",">60","Millions/ml","","Standard","Decimal","0 - 500","60 - 999"
"","1518","Liquification","10 to 30 mins","min","","Standard","Decimal","0 - 250","10 - 30"
"","1519","R.A. Factor (Quantitative)","Less Than 10","IU/mL","","Standard","Decimal","0 - 90","0 - 30"
"","1520","Serum Ferritin","Males: 25-350Female: 13-232","ng/ml","","Standard","Decimal","0 - 900","20 - 300"
"","1521","Testosterone","Males: 2.2-10.5Females: <1.0","ng/mL","","Standard","Decimal","0 - 95.4","0.2 - 31.8"
"","1522","Prolactin","2.6-27","ng/ml","","Standard","Decimal","0 - 105","2 - 35"
"","1523","ANTI CCP ANTIBODY","SEE BELOW","U/mL","","Standard","Text","0 - 500","0 - 99999"
"","1524","Parathyroid hormone (PTH)","10.0 - 65.0","pg/mL","","Standard","Text","0 - 500","0 - 99999"
"","1525","Adenosine Deaminase (ADA)","Serum < 15.0CSF   < 9.0Fluid < 30.0","U/L","","Standard","Text","0 - 500","0 - 99999"
"","1526","HELICOBACTER PYLORI Abs IgM","Negative <40.0Positive > 40.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","1527","ProBNP (N-t) II","-","pg/mL","-","Standard","Text","0 - 500","0 - 99999"
"","1528","Cefixime(CFM)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1529","Ceftazidime(CAZ)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1530","Cefuroxime(CXM)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1531","Enoxabid(EN 10)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1532","Septran (SXT)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1533","Sparaxin (SPX)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1534","Tazocin (TZP )","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1535","Sulzone(SCF)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1536","Urixin(PIP)","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1537","Anti Mullerian Hormone (AMH)","SEE BELOW","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","1538","-/-","-","","","Descriptive","Text","0 - 250","0 - 99999"
"","1539","E.S.R","Female: Less than 20Male: Less than 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 20"
"","1540","DENGUE VIRUS (IgM)","Negative:    < 9.0    Borderline:  9.0 - 11.0 Positive:    > 11.0","","","Standard","Text","0 - 500","0 - 99999"
"","1541","Casts","-","","","Standard","List","0 - 500","0 - 99999"
"","1542","Crystals","-","","","Standard","Text","0 - 250","0 - 99999"
"","1543","CutOff Value","-","-","","Standard","Text","0 - 500","0 - 99999"
"","1544","ANTI HEV IgG:","0.239","","","Descriptive","Text","0 - 500","0 - 99999"
"","1545","AMYLASE","< 220","U/L","","Standard","Text","0 - 500","0 - 99999"
"","1546","HbA1c","4.0 - 6.0","%","","Standard","Text","0 - 500","0 - 99999"
"","1547","DHESO4","SEE BELOW","ug/dL","","Standard","Text","0 - 500","0 - 99999"
"","1548","SERUM INSULIN LEVEL","SEE BELOW","uIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","1549","CutOff Value","2.0","","","Standard","Text","0 - 500","0 - 99999"
"","1550","SERUM LIPASE","<38","U/l","","Standard","Text","0 - 500","0 - 99999"
"","1551","ALBUMIN / CREATININE RATIO","Reference Range for ACR:Normal: <30 mg/gMicroalbuminuria: 30 to 300 mg/gMacroalbuminuria: >300 mg/g","mg/dl","","Standard","Text","0 - 500","0 - 99999"
"","1552","24 HOURS URINARY CREATININE","Male: 1.04 - 2.35Female: 0.74 - 1.57","G/24 HRS","","Standard","Text","0 - 250","0 - 99999"
"","1553","TPHA (Syphilis)","Non Reactive < 1.00Reactive >= 1.00","","","Standard","Text","0 - 500","0 - 99999"
"","1554","CA-125","0.01 -  35.0","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","1555","Cut Off Value:","-","","","Standard","Text","0 - 500","0 - 99999"
"","1556","Cut Off Value","-","-","-","Standard","Text","0 - 500","0 - 99999"
"","1557","Rubella IgG","Non-Reactive: 0.0 - 4.9Equivocal: 5.0 - 9.9Reactive: >= 10.0","IU/mL","","Standard","Text","0 - 500","0 - 10"
"","1558","T4","Cord Blood :7.4 - 131 - 3 days:12 - 231 - 2 weeks:9.9 - 171 - 4 months:7.2 - 144 - 12 months:7.8 - 16Childern:5.6 - 15Adults:4.6 - 11","nmol/L","","Standard","Text","0 - 500","0 - 99999"
"","1559","PROLACTIN","Male 2.3 - 17.5Female 2.9 - 25.8","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","1560","CORTISOL A.M","6.7 - 22.6","ug/dl","","Standard","Text","0 - 500","0 - 99999"
"","1561","CORTISOL A.M","Collection Time    Reference Interval8:00  - 10:00   : 57.20 - 194.2016:00 - 18:00   : 20.20 - 131.00","ng/mL","","Standard","Text","0 - 500","0 - 99999"
"","1562","FREE T3 (FT3)","2.5- 3.9","pg/mL","","Standard","Text","0 - 500","0 - 99999"
"","1563","FREE T4 (FT4)","3.30 - 7.50","ng/dl","","Standard","Text","0 - 500","0 - 99999"
"","1564","SERUM FERRITIN","Male     :   38-457 Female:   Premenopausal:  7.4-73   Menopausal   :  14-165Children:      0-6 months :  1.0-434    0.5-15 years :  2.0-135     15-18 years :  16-90Girls:   15-18 years :  5.0-127","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","1565","MORPHOLOGY","-","%","","Standard","AutoComplete","0 - 500","0 - 99999"
"","1566","Microhead:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","1567","Macrohead:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","1568","Without Tail:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","1569","Double Head:","-","%","","Standard","Text","0 - 500","0 - 99999"
"","1570","Cefaclor(CEC)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1571","Nalidixic Acid( NA 30)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1572","Amylase","Less Than 100","U/L","","Standard","Decimal","0 - 5000","0 - 300"
"","1573","Colistin(CST)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1574","imipenem(IMP)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1575","tetracycline(TET)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1576","Gentamycin(GEN)","-","-","","Descriptive","Text","0 - 500","0 - 99999"
"","1577","TROPONIN-T","1.00 ng/ml","-","","Standard","Text","0 - 500","0 - 99999"
"","1578","Free Testosterone Serum","SEE BELOW","Pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","1579","Serum Lipase","Less Than 60","U/l","","Standard","Decimal","0 - 400","10 - 60"
"","1580","HbA1c","less Than 6.5%","%","","Standard","Text","5.7 - 15","0 - 6.5"
"","1581","L.D.H.","Adult: 240","U/L","","Standard","Decimal","0 - 99999","240 - 480"
"","1582","Mixed Cells","2 - 10","%","","Standard","Decimal","0 - 100","2 - 10"
"","1583","CRP (High Sensitivity)","Low: < 1.0 mg/dlAverage: 1.0 to 4.0 mg/dlHigh: > 4.0 mg/dl","mg/l","","Standard","Text","0 - 250","0.5 - 5"
"","1584","Serum Sodium","135-150","mmol/L","","Standard","Decimal","0 - 444","67 - 159"
"","1585","Urinary Potassium","29-181","mmol/L","","Standard","Decimal","0 - 444","29 - 181"
"","1586","Urinary Chloride","86-190","mmol/l","","Standard","Decimal","0 - 321","86 - 190"
"","1587","Bilirubin Conjugated (Direct)","0 - 0.3","mg/dl","","Standard","Machine","0 - 999999","0 - 0.3"
"","1588","Bilirubin Unconjugated( Indirect )","0.1 - 0.9","mg/dl","","Standard","Machine","0 - 999999","0.1 - 0.9"
"","1589","Typhidot screeing","","","","Standard","Text","0 - 500","0 - 99999"
"","1590","Total Protein","6.1-7.9","g/dL","","Standard","Decimal","0 - 26.1","6 - 8.7"
"","1591","Leucocytes","Nil","","Nil","Standard","Text","0 - 500","0 - 99999"
"","1592","Globulins","1.8 - 3.4","g/dl","","Standard","Formula","0 - 999999","1.8 - 3.4"
"","1593","A/G Ratio","1.1 - 2.4","","","Standard","Formula","0 - 999","1.1 - 2.4"
"","1594","Troponin-I","0-0.3","ng/ml","","Standard","Text","0 - 10","0 - 0.1"
"","1595","Protein (Albumin) Spot Urine","Less Than 133","mg/dl","","Standard","Decimal","0 - 800","0 - 133"
"","1596","Sodium","135 - 150","mmol/L","","Standard","Decimal","0 - 444","135 - 150"
"","1597","Potassium","3.5- 5.5","mmol/L","","Standard","Decimal","0 - 15.9","3.5 - 5.5"
"","1598","Chloride","92 - 110","mmol/l","","Standard","Decimal","0 - 321","92 - 110"
"","1599","Bicarbonate","22 - 28","meq/L","","Standard","Decimal","0 - 99","22 - 28"
"","1600","F.D.P's (D-DIMER)","0-0.5","mg/L","","Standard","Decimal","0 - 600","0 - 0.5"
"","1601","ERYTHROCYTES","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1602","ABSOLUTE VALUES","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1603","WHITE BLOOD CELLS","-","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1604","D.L.C","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1605","THROMBOCYTE","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","1606","Tuberculin Skin Test","(See below)","","","Standard","Text","0 - 500","0 - 99999"
"","1607","FREE T3","2.5 - 3.9","pg/ml","","Standard","Text","0 - 500","0 - 100"
"","1608","FREE T4","0.61 - 1.12","ng/dl","","Standard","Text","0 - 500","0 - 100"
"","1609","PSA (Prostate Specific Antigen) Total","Less Than 4","ng/ml","","Standard","Decimal","0 - 30.88","0 - 4.96"
"","1610","T4","6.09 - 12.23","ug/dL","","Standard","Decimal","0 - 459","6.09 - 12.23"
"","1611","Urine Sugar","NIL","","","Standard","Text","0 - 250","0 - 99999"
"","1612","MycoDot (IgG)","","-","","Standard","Text","0 - 1","0 - 1.1"
"","1613","MycoDot (IgM)","","-","","Standard","Text","0 - 1","0 - 1.2"
"","1614","Clotting Time (CT)","4 - 11","minutes","","Standard","Decimal","0 - 99","4 - 11"
"","1615","Creatinine Clearance","Male: 98 - 156Female: 95 - 160","ml/min","","Standard","Text","0 - 500","98 - 156"
"","1616","BILIRUBIN UNCONJUGATED","0.1 - 0.9","mg/dl","","Standard","Machine","0 - 999999","0 - 0.9"
"","1617","Bilirubin Conjugated.","0 - 0.3","mg/dl","","Standard","Machine","0 - 999999","0 - 0.3"
"","1618","Mantoux Test","Negative:1-4Borderline:5-9Positive:>=10","","","Standard","Text","0 - 500","0 - 99999"
"","1619","Helicobacter Pylori Abs (IgG)","Negative < 5.0Borderline 5 - 10Positive >10.0","IU/ml","","Standard","Text","0 - 500","0 - 100"
"","1620","C-Reactive Protein (CRP)","","mg/L","","Standard","Decimal","0 - 500","0 - 500"
"","1621","Patient's Value","","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","1622","Dengue NS1 Antigen","Negative: < 0.9Borderline: 0.9 - 1.1Positive: > 1.1","","","Descriptive","Decimal","0 - 500","0 - 1.1"
"","1623","Patient's Value","Non-Reactive: <0.9Borderline: 0.9-1.0Reactive: >1.0","","","Descriptive","Decimal","0 - 500","0 - 1"
"","1624","Dengue Virus (IgM)","Negative: < 0.9Borderline: 0.9 to 1.0Positive: > 1.1","","","Standard","Decimal","0 - 3.3","0 - 1.1"
"","1625","F.D.P's (D-DIMER)","Less Than 0.5","mg/l","","Standard","Decimal","0 - 600","0 - 0.5"
"","1626","Bilirubin Conjugated","<0.25","mg/dl","","Standard","Decimal","0 - 5","0 - 0.4"
"","1627","Blood Urea Nitrogen (BUN)","8 - 22","mg/dl","","Standard","Formula","0 - 999999","8 - 22"
"","1628","Gamma GT","Less than 59","U/L","","Standard","Decimal","0 - 999","0 - 59"
"","1629","Serum Iron","Male: 59 - 160Female: 37 - 145","µg/dL","","Standard","Decimal","0 - 444","37 - 160"
"","1630","White Blood Cell (WBC/TLC)","4 - 11","*10^9/l","","Standard","Machine","0 - 999999","4 - 11"
"","1631","Direct Bilirubin","0.0 - 0.25","mg/dl","","Standard","Decimal","0 - 999","0 - 0.25"
"","1632","Indirect Bilirubin","0.1 - 0.75","mg/dl","","Standard","Formula","0 - 999999","0 - 0.75"
"","1633","SGPT (ALT)","Less than 45","U/L","","Standard","Decimal","0 - 99999","0 - 45"
"","1634","SGOT (AST)","Less than 35","U/l","","Standard","Decimal","0 - 99999","0 - 35"
"","1635","Alkalaine Phosphatase","80 - 306","u/l","","Standard","Decimal","0 - 1500","80 - 306"
"","1636","Alkalaine Phosphatase","Adult: 65 - 240Upto 15 Years: < 64515 - 17 Years: < 483","U/L","","Standard","Decimal","0 - 99999","65 - 645"
"","1637","INR","0.9 - 1.1","","","Standard","Formula","0 - 20","0.9 - 1.1"
"","1638","PH","5.0-8.0","","","Standard","List","0 - 250","5 - 8"
"","1639","Specific Gravity","1.005 - 1.030","","","Standard","Decimal","0 - 999","1 - 1.03"
"","1640","Pregnancy","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1641","Anti Helicobacter Pylori Screening","Negative","","","Descriptive","List","0 - 500","0 - 0"
"","1642","CRP (High Sensitivity)","Less than 3.0","mg/l","","Standard","Decimal","0 - 100.0","0.5 - 3"
"","1643","A/G Ratio","1.1 - 2.4","","","Standard","Formula","0 - 999","1.1 - 2.4"
"","1644","Urine Sugar","NIL","","","Descriptive","Text","0 - 250","0 - 99999"
"","1645","HbA1c","","","","Descriptive","Decimal","0 - 100","5 - 5.7"
"","1646","Dengue Virus (IgG)","Negative","","Negative","Standard","List","0 - 500","0 - 11"
"","1647","Dengue Virus (IgM)","Negative","","Negative","Standard","List","0 - 500","0 - 0"
"","1648","-","","","","Descriptive","Text","0 - 250","0 - 99999"
"","1649","C-Reactive Protein (CRP)","Less Than 10","mg/L","","Standard","Machine","0 - 999999","0 - 10"
"","1650","Calcium","9.0 - 11.0","mg/dl","","Standard","Machine","0 - 999999","9 - 11"
"","1651","RA FACTOR (Qualitative)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","1652","RA FACTOR","Negative","","","Standard","List","0 - 500","0 - 9999"
"","1653","igG","Negative","","","Standard","List","0 - 500","0 - 99999"
"","1654","H-Pylori","Negative","","","Standard","List","0 - 500","0 - 0"
"","1655","VDRL","Negative","","","Standard","List","0 - 250","0 - 0"
"","1656","Dengue NS1 Antigen","Negative","","","Standard","List","0 - 500","0 - 0"
"","1657","RA FACTOR(Quantitative)","Negative","","","Standard","List","0 - 500","0 - 999"
"","1658","Urine Sugar Fasting","60 - 110","mg/dl","","Standard","Decimal","0 - 550","60 - 110"
"","1659","ESR","Female: < 15Male: < 8","mm/1st hr","","Standard","Decimal","0 - 100","0 - 20"
"","1660","Bilirubin Conjugated","0.1 - 0.2","mg/dl","","Standard","Decimal","0 - 30.5","0 - 7.9"
"","1661","Rheumatoid Factor (RA)","<20","iu/ml","","Standard","Text","0 - 500","0 - 500"
"","1662","Indirect Bilirubin","0.1 - 0.3","mg/dl","","Standard","Formula","0 - 500","0 - 50"
"","1663","Neutrophil, Absolute","2500 - 7000","/mm3","","Standard","Decimal","0 - 99999","2500 - 7000"
"","1664","Lymphocyte, Absolute","1500 - 4000","/mm3","","Standard","Decimal","0 - 99999","1500 - 4000"
"","1665","Monocyte, Absolute","200 - 1000","/mm3","","Standard","Decimal","0 - 99999","200 - 1000"
"","1666","Eosinophil, Absolute","50 - 500","/mm3","","Standard","Decimal","0 - 99999","50 - 500"
"","1667","Cholesterol / HDL Cholesterol Ratio","Normal: 3.5 to 5.0High: > 5.0","mg/dl","","Standard","Formula","0 - 500","0 - 500"
"","1668","V.L.D.L","Normal: < 30Borderline High: 30 to 40","mg/dl","","Standard","Formula","0 - 999999","0 - 50"
"","1669","TSH","0.30 - 4.50","uIU/ml","","Standard","Text","0 - 500","0.4 - 7"
"","1670","Bilirubin Unconjugated","0.1 - 1.0","mg/dl","","Standard","Formula","0 - 3","0.1 - 1"
"","1671","Uric Acid","Female: 2.5 - 5.5Male: 3.5 - 7.0","mg/dl","","Standard","Decimal","0 - 21.6","2.5 - 15"
"","1672","Patient's Value","Non-Reactive: <0.9Borderline: 0.9-1.0Reactive: >1.0","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","1673","Pus Cells","1-2","","2-4","Standard","Text","0 - 250","0 - 99999"
"","1674","Volume","1.0-7.0","ml","","Standard","Decimal","0 - 250","1 - 7"
"","1675","Days of Absence","03-30","Days","","Standard","Integer","0 - 250","2 - 30"
"","1676","Total Sperm Count","20-120","Million","","Standard","Text","0 - 500","20 - 120"
"","1677","Indirect Bilirubin","0.1 - 0.75","mg/dl","","Standard","Formula","0 - 999999","0.1 - 0.75"
"","1678","HbA1c","4.2 - 6.4","%","","Standard","Decimal","0 - 100","4.2 - 6.4"
"","1679","Urine for Pregnancy Test","Negative","","","Standard","List","0 - 500","0 - 99999"
"","1680","T3","1.2 - 3.0","nmol/L","","Standard","Decimal","0 - 555555","1.2 - 3"
"","1681","Alpha Feto-Protein","0.5 - 5.5","µIU/ml","","Standard","Decimal","0 - 30","0.5 - 5.5"
"","1682","White Blood Cell (WBC/TLC)","4 - 11","X10^3/uL","","Standard","Decimal","0 - 999","4 - 11"
"","1683","Lumbosacral Spine (AP & Lateral View)","-","","","Standard","Text","0 - 500","0 - 99999"
"","1684","ASO TITER (QUANTITATIVE)","Adults <200Children <150","IU/ml","","Standard","Decimal","0 - 500","0 - 0"
"","1685","Mixed Cells, Absolute","0.14 - 1.80","*10^9/l","","Standard","Decimal","0 - 500","0.14 - 1.8"
"","1686","Color","","","","Standard","Text","0 - 250","0 - 99999"
"","1687","Consistency","","","","Standard","Text","0 - 250","0 - 99999"
"","1688","Odour","Fecal","","","Standard","Text","0 - 500","0 - 99999"
"","1689","Reaction","NIL","","NIL","Standard","Text","0 - 250","0 - 99999"
"","1690","Ova","Not Seen","","Not Seen","Standard","Text","0 - 250","0 - 99999"
"","1691","Cysts of protozoa","Not Seen","","Not Seen","Standard","Text","0 - 250","0 - 99999"
"","1692","Vegetative forms","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1693","Macrophages","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1694","Muscle cells","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1695","Starch","NIL","","NIL","Standard","Text","0 - 500","0 - 99999"
"","1696","X-RAY ANKLE AP AND LAT","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","1697","HbA1c","4.0 - 6.0 (Non Diabetic)6.1 - 7.0 (Desirable control)7.1 - 8.0 (Sub Optimal)> 8.1     (Very Poor Contorl)","%","","Standard","Decimal","0 - 100","0 - 999990"
"","1698","Anti Helicobacter Pylori Screening","","","","Standard","Text","0 - 500","0 - 99999"
"","1699","LH","* Healthy women:Follicular phase:2.965-11.93Ovulation phase:4.089-26.04Luteal phase:1.317-7.955Postmenopausal phase:27.0 - 129.0","mIU/ml","","Standard","Decimal","0 - 270","0 - 99999999"
"","1700","FSH","* Healthy women:Follicular phase:2.148-13.01Ovulation phase:12.93-92.57Luteal phase:1.084-12.39Postmenopausal phase:13.5 - 96.0","mIU/ml","","Standard","Decimal","0 - 453","0 - 99999"
"","1701","Prolactin","* Follicular phase: 2.72 - 29.4Preovulatorypeak: 6.91 - 27.9Luteal phase: 2.64 - 37.2Postmenopausal: 2.77 - 14.4","ng/ml","","Standard","Decimal","0 - 105","0 - 99999"
"","1702","Helicobacter Pylori Abs IgM","< 0.8 Negative0.8 - 1.2 Borderline> 1.2 Positive","S/CO","","Standard","Text","0 - 500","0 - 1000"
"","1703","Total lipid","250 - 1000","mg/dl","","Standard","Decimal","0 - 1000","250 - 1000"
"","1704","CHOLESTEROL/HDL CHOLESTEROL RATIO","Desirable:3.5 to 5.0                      High:>5.0","mg/dl","","Standard","Decimal","0 - 500","3.5 - 5"
"","1705","APTT","29 - 36","Seconds","","Standard","Text","21 - 500","22 - 500"
"","1706","Coombs Test Indirect","Negative","","","Descriptive","Text","0 - 250","0 - 99999"
"","1707","Coombs Test Direct","Negative","","","Descriptive","Text","0 - 250","0 - 99999"
"","1708","IU/ml","< 15.0  IU/ml","IU/ml","","Standard","Text","0 - 250","0 - 15"
"","1709","Result","","","","Standard","Text","0 - 500","0 - 99999"
"","1710","Indirect Bilirubin.","0.1 - 0.3","mg/dl","","Standard","Formula","0 - 500","0.1 - 0.3"
"","1711","INR.","0.83 - 1.16","","","Standard","Formula","0 - 999999","0.83 - 1.16"
"","1712","Typhoid antigen","> 0.5","mg/ul","","Standard","Text","0 - 500","0 - 999999"
"","1713","Typhoid Antigen.","","","","Descriptive","List","0 - 500","0 - 99999"
"","1714","BETA HCG","Female,non pregnent < 10.00Female,1 - 3 weeks 50 - 1500Female,4 - 5 weeks 2500 - 85000Female,6 - 11 weeks 12 000 - 280 000Female,12- 21 weeks 7000 - 195 000Male < 10.00","mIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","1715","CRP (High Sensitivity)","< 3.0","mg/L","","Standard","Decimal","0 - 50.0","0.01 - 2.99"
"","1716","Results","NON-REACTIVE","","","Descriptive","List","0 - 500","0 - 0"
"","1717","PATIENT VALUE","Non Reactive <0.9Border Line 0.9 - 1.0Reactive >1.0","","","Descriptive","Decimal","0 - 500","0 - 1"
"","1718","Dengue NS1 Antigen","Negative: < 0.9Borderline: 0.9 - 1.1Positive: > 1.1","","","Standard","Decimal","0 - 500","0 - 1.1"
"","1719","Free T4","8.9 - 17.2","pg/mL","","Standard","Decimal","0 - 66","9 - 22"
"","1720","FSH","Male : 1.5 - 11.8Females :Follicualr phase : 3.2 - 15Ovulatory phase : 7.5 - 20Luteal phase : 1.3 - 11Postmenopuase : 36 - 138","mIU/ml","","Standard","Decimal","0 - 453","1.3 - 151"
"","1721","Prolactin","Male : 2.53 - 15.9Female :Normal 13.10 - 23.03Postmenopusal 2.91 - 19.27","ng/ml","","Standard","Decimal","0 - 1000","2.35 - 35"
"","1722","T4","4.58 - 11.88","ug/dL","","Standard","Decimal","0 - 459","4.58 - 11.9"
"","1723","T3","0.69 - 2.15","ng/ml","","Standard","Decimal","0 - 564","0.69 - 2.15"
"","1724","T4","52 - 127","ng/mL","","Standard","Decimal","0 - 180","51 - 127"
"","1725","TSH (Thyroid Stimulating Hormone)","0.30 - 4.50","uIU/mL","","Standard","Decimal","0 - 10","0.3 - 4.5"
"","1726","Anti Mullerian Hormone (AMH)","Female < 10 years < 0.08 - 10.610 - 20 0.62 - 10.921 - 30 < 0.08 - 10.231 - 40 0.15 - 10.641 - 50 < 0.08 - 6.12> 50 < 0.08 - 0.40Male : 1 - 11 39.1 - 33012 - 20 1.15 - 142> 20 0.60 - 18.2","ng/mL","","Standard","Decimal","0 - 1398","0.7 - 466"
"","1727","HAV IgM","Negative: < 0.8Equivocal: 0.8 to 1.2Positive: > 1.2","","","Standard","List","0 - 500","0 - 1.2"
"","1728","Serum Ferritin","Males : 25 - 350Females : 13 - 232","ng/ml","","Standard","Decimal","0 - 900","20 - 300"
"","1729","Creatinine (Spot Urine)","Male : 40 - 278Female : 29 - 226","mg/dl","","Standard","Decimal","0 - 498","40 - 278"
"","1730","Phosphate (Serum)","Adult: 2.5 - 4.5Child: 4.0 - 7.0","mg/dl","","Standard","Decimal","0 - 21","2.5 - 7"
"","1731","Patient's Value","","","","Descriptive","Decimal","0 - 60","0 - 1"
"","1732","Physical Examination","","","","Standard","Text","0 - 250","0 - 99999"
"","1733","V.D.R.L","","","","Standard","List","0 - 500","0 - 0"
"","1734","Direct Bilirubin","Less than 0.5","mg/dl","","Standard","Decimal","0 - 500","0 - 0.5"
"","1735","Indirect Bilirubin","0.1 - 1.0","mg/dl","","Standard","Formula","0 - 999999","0.1 - 1"
"","1736","Alkalaine Phosphatase","Female: 64-306Male: 80-306Upto 15 Years:<64415-17 Years: <483","U/L","","Standard","Decimal","0 - 1500","64 - 400"
"","1737","PCT","0.22 - 0.24","%","","Standard","Decimal","0 - 500","0.22 - 0.24"
"","1738","Bilirubin Total","0.2 - 1.2","mg/dl","","Standard","Decimal","0 - 250","0.2 - 1.2"
"","1739","R.A FACTOR (QUALITATIVE)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","1740","HISTO # :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1741","MICROSCOPIC APPEARANCES :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1742","OPINION :","","","","Descriptive","Text","0 - 500","0 - 99999"
"","1743","Urea (Serum)","10 - 50","mg/dl","","Standard","Text","0 - 250","10 - 50"
"","1744","BUN (Blood Urea Nitrogen)","Adults <65Y 7 - 23.3 mg/dlAdults >65Y <33 mg/dl","mg/dl","","Standard","Formula","0 - 999999","7 - 23.3"
"","1745","Creatinine (Serum)","Male: 0.7 - 1.2Female: 0.6 - 1.1","mg/dl","","Standard","Text","0 - 40","0.3 - 1.2"
"","1746","Hemoglobin (HB)","11.5 - 16.0","g/dl","","Standard","Machine","0 - 999999","11.5 - 16"
"","1747","HCT (PCV)","36 - 46","%","","Standard","Machine","0 - 999999","36 - 46"
"","1748","Mean Cell Volume (MCV)","75 - 95","fl","","Standard","Machine","0 - 999999","75 - 95"
"","1749","Mean Cell Hemoglobin (MCH)","26 - 32","pg","","Standard","Machine","0 - 999999","26 - 32"
"","1750","Mean Cell Hb Conc (MCHC)","30 - 35","%","","Standard","Machine","0 - 999999","30 - 35"
"","1751","ESR","Less than 20","mm/1st hr","","Standard","Decimal","0 - 999","0 - 20"
"","1752","Eosinophils","1 - 6","%","","Standard","Decimal","0 - 100","1 - 6"
"","1753","Hemoglobin (HB)","15 - 24","g/dl","","Standard","Decimal","0 - 500","15 - 24"
"","1754","Red Blood Cell (RBC)","4.1 - 6.7","*10^12/l","","Standard","Decimal","0 - 500","4.1 - 6.7"
"","1755","Hematocrit (HCT)","44 - 65","%","","Standard","Decimal","0 - 100","44 - 65"
"","1756","Mean Cell Volume (MCV)","102 - 115","fl","","Standard","Decimal","0 - 250","102 - 115"
"","1757","Mean Cell Hemoglobin (MCH)","33 - 39","pg","","Standard","Decimal","0 - 250","33 - 39"
"","1758","White Blood Cell (WBC/TLC)","10 - 25","*10^9/l","","Standard","Decimal","0 - 999","10 - 25"
"","1759","Neutrophils","32 - 60","%","","Standard","Decimal","0 - 100","32 - 60"
"","1760","Lymphocytes","26 - 40","%","","Standard","Decimal","0 - 100","26 - 40"
"","1761","Monocytes","Less than 9","%","","Standard","Decimal","0 - 100","0 - 9"
"","1762","Eosinophil","Less than 4","%","","Standard","Decimal","0 - 100","0 - 4"
"","1763","ESR","Less than 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 10"
