testExternalId,parameterExternalId,displayOrder,isRequired,unitOverride
t2183,p2169,1,true,
t2184,p2183,1,true,
t2185,p2202,3,true,
t2186,p2189,1,true,
t2187,p2203,3,true,
t2188,p2197,1,true,
t2189,p2198,1,true,
t2190,p2199,1,true,
t2191,p2205,1,true,
t2192,p2206,1,true,
t2193,p2208,1,true,
t2194,p2209,1,true,
t2195,p2210,1,true,
t2196,p2212,1,true,
t2197,p2213,1,true,
t2198,p2210,1,true,
t2198,p2212,2,true,
t2198,p2213,3,true,
t2199,p2218,1,true,
t2200,p2217,1,true,
t2201,p2220,1,true,
t2202,p2225,1,true,
t2203,p2057,1,true,
t2204,p2243,1,true,
t2204,p2348,2,true,
t2206,p2249,1,true,
t2207,p2250,1,true,
t2208,p2258,1,true,
t2209,p2281,1,true,
t2210,p2272,1,true,
t2211,p2273,1,true,
t2212,p2274,1,true,
t2213,p2287,1,true,
t2214,p2305,1,true,
t2215,p2306,1,true,
t2216,p2320,1,true,
t2217,p2322,1,true,
t2218,p2324,1,true,
t2219,p2347,1,true,
t2219,p2011,2,true,
t2219,p2018,3,true,
t2219,p2019,4,true,
t2219,p2086,5,true,
t2219,p2176,6,true,
t2219,p2003,7,true,
t2220,p2349,1,true,
t2221,p2352,1,true,
t2222,p2358,1,true,
t2223,p2360,1,true,
t2224,p2369,1,true,
t2224,p2370,2,true,
t2225,p2347,1,true,
t2225,p2011,2,true,
t2225,p2321,3,true,
t2225,p2003,4,true,
t2226,p2363,1,true,
t2226,p2348,2,true,
t2227,p2014,1,true,
t2227,p2145,2,true,
t2227,p2012,3,true,
t2228,p2011,1,true,
t2229,p2014,1,true,mg/dl
t2230,p2017,1,true,
t2231,p2022,1,true,
t2232,p2315,1,true,
t2233,p2091,2,true,
t2234,p2093,1,true,
t2235,p2101,1,true,
t2236,p2106,1,true,
t2237,p2356,1,true,
t2237,p2107,2,true,
t2238,p2356,1,true,
t2238,p2107,2,true,
t2239,p2117,1,true,
t2240,p2118,1,true,
t2241,p2114,1,true,
t2242,p2316,1,true,
t2243,p2114,1,true,
t2243,p2126,2,true,
t2243,p2329,3,true,
t2243,p2223,4,true,
t2244,p2126,1,true,
t2245,p2177,1,true,
t2246,p2101,2,true,
t2246,p2010,3,true,
t2246,p2099,4,true,
t2246,p2100,5,true,
t2247,p2194,1,true,
t2249,p2223,1,true,
t2250,p2226,1,true,
t2251,p2266,1,true,
t2252,p2364,1,true,
t2253,p2280,1,true,
t2253,p2145,2,true,
t2253,p2279,3,true,
t2254,p2356,1,true,
t2254,p2107,2,true,
t2254,p2142,3,true,
t2254,p2357,4,true,
t2255,p2307,1,true,
t2256,p2330,1,true,
t2257,p2317,1,true,
t2258,p2318,1,true,
t2259,p2142,1,true,
t2259,p2179,2,true,
t2260,p2328,1,true,
t2260,p2327,2,true,
t2260,p2317,3,true,
t2260,p2122,4,true,
t2261,p2178,1,true,
t2262,p2221,1,true,
t2263,p2323,1,true,
t2264,p2325,1,true,
t2265,p2327,1,true,
t2266,p2328,1,true,
t2267,p2350,1,true,
t2268,p2357,1,true,
t2269,p2337,1,true,
t2270,p2347,1,true,
t2271,p2221,1,true,
t2271,p2337,2,true,
t2272,p2105,1,true,
t2273,p2045,2,true,
t2273,p2046,2,true,
t2277,p2326,8,true,
t2278,p2201,1,true,
t2278,p2200,2,true,
t2278,p2371,3,true,
t2278,p2271,4,true,
t2278,p2293,6,true,
t2278,p2239,7,true,
t2278,p2238,8,true,
t2278,p2237,9,true,
t2278,p2295,10,true,
t2278,p2254,13,true,
t2278,p2232,14,true,
t2278,p2245,15,true,
t2278,p2161,16,true,
t2278,p2253,19,true,
t2278,p2231,20,true,
t2278,p2244,21,true,
t2278,p2162,22,true,
t2278,p2165,24,true,
t2279,p2282,1,true,
t2279,p2283,2,true,
t2279,p2216,3,true,
t2280,p2078,1,true,Sec
t2280,p2132,2,true,
t2281,p2130,2,true,
t2281,p2077,3,true,
t2281,p2332,6,true,
t2281,p2265,7,true,
t2281,p2278,8,true,
t2281,p2180,9,true,
t2281,p2222,10,true,
t2281,p2090,11,true,
t2281,p2255,12,true,
t2281,p2227,13,true,
t2281,p2096,14,true,
t2281,p2365,15,true,
t2281,p2285,22,true,
t2281,p2294,22,true,
t2281,p2164,24,true,
t2281,p2181,26,true,
t2281,p2082,30,true,
t2281,p2372,32,true,
t2281,p2148,35,true,
t2281,p2247,40,true,
t2282,p2314,1,true,
t2282,p2313,2,true,
t2282,p2309,3,true,
t2282,p2311,4,true,
t2283,p2355,1,true,
t2283,p2354,2,true,
t2283,p2298,3,true,
t2284,p2370,1,true,
t2284,p2130,2,true,
t2284,p2230,3,true,
t2284,p2131,4,true,
t2284,p2265,5,true,
t2284,p2333,8,true,
t2284,p2007,9,true,
t2284,p2331,10,true,
t2284,p2214,12,true,
t2284,p2004,15,true,
t2284,p2195,16,true,
t2284,p2340,17,true,
t2284,p2174,19,true,
t2284,p2285,21,true,
t2284,p2294,22,true,
t2284,p2164,23,true,
t2285,p2366,1,true,
t2286,p2361,2,true,
t2287,p2102,1,true,
t2287,p2302,2,true,
t2288,p2303,1,true,
t2289,p2342,1,true,
t2289,p2341,2,true,
t2290,p2052,1,true,
t2291,p2116,1,true,
t2292,p2092,1,true,
t2292,p2155,2,true,
t2292,p2215,3,true,
t2293,p2263,1,true,
t2293,p2157,2,true,
t2293,p2159,3,true,
t2293,p2158,3,true,
t2293,p2191,4,true,
t2293,p2047,5,true,
t2293,p2207,6,true,
t2293,p2304,7,true,
t2293,p2236,8,true,
t2293,p2146,9,true,
t2293,p2097,10,true,
t2293,p2098,11,true,
t2294,p2351,1,true,
t2295,p2095,1,true,
t2296,p2127,1,true,
t2297,p2234,1,true,
t2297,p2235,2,true,
t2298,p2056,1,true,
t2299,p2078,1,true,Sec.
t2300,p2371,1,true,
t2300,p2293,2,true,
t2300,p2201,3,true,
t2300,p2200,4,true,
t2300,p2271,4,true,
t2301,p2282,1,true,
t2301,p2283,2,true,
t2301,p2216,3,true,
t2302,p2326,1,true,
t2303,p2330,1,true,
t2304,p2329,1,true,
t2305,p2318,1,true,
t2305,p2350,2,true,
t2305,p2194,3,true,
t2305,p2226,4,true,
t2305,p2125,5,true,
t2305,p2367,6,true,
t2306,p2171,1,true,
t2307,p2172,1,true,ng/dl
t2308,p2282,2,true,
t2308,p2283,2,true,
t2308,p2216,3,true,
t2308,p2078,5,true,
t2308,p2079,6,true,
t2309,p2191,1,true,
t2309,p2193,2,true,
t2310,p2204,1,true,
t2310,p2044,2,true,
t2311,p2198,1,true,IU/ml
t2315,p2201,1,true,
t2315,p2200,2,true,
t2315,p2371,3,true,
t2315,p2271,4,true,
t2315,p2293,6,true,
t2315,p2239,7,true,
t2315,p2238,8,true,
t2315,p2239,8,true,
t2315,p2237,9,true,
t2315,p2295,10,true,
t2315,p2254,13,true,
t2315,p2232,14,true,
t2315,p2245,15,true,
t2315,p2161,16,true,
t2315,p2253,19,true,
t2315,p2231,20,true,
t2315,p2244,21,true,
t2315,p2162,22,true,
t2315,p2165,24,true,
t2316,p2201,1,true,
t2316,p2200,2,true,
t2316,p2371,3,true,
t2316,p2271,4,true,
t2316,p2293,6,true,
t2316,p2239,7,true,
t2316,p2238,8,true,
t2316,p2239,8,true,
t2316,p2237,9,true,
t2316,p2295,10,true,
t2316,p2254,13,true,
t2316,p2232,14,true,
t2316,p2245,15,true,
t2316,p2161,16,true,
t2316,p2253,19,true,
t2316,p2231,21,true,
t2316,p2244,21,true,
t2316,p2162,22,true,
t2316,p2165,24,true,
t2317,p2201,1,true,
t2317,p2200,2,true,
t2317,p2371,3,true,
t2317,p2271,4,true,
t2317,p2293,6,true,
t2317,p2239,7,true,
t2317,p2238,8,true,
t2317,p2237,9,true,
t2317,p2295,10,true,
t2317,p2254,13,true,
t2317,p2232,14,true,
t2317,p2245,15,true,
t2317,p2161,16,true,
t2317,p2253,19,true,
t2317,p2231,20,true,
t2317,p2244,21,true,
t2317,p2162,22,true,
t2317,p2165,24,true,
t2317,p2256,26,true,
t2318,p2201,1,true,
t2318,p2200,2,true,
t2318,p2371,3,true,
t2318,p2271,4,true,
t2318,p2293,6,true,
t2318,p2239,7,true,
t2318,p2238,8,true,
t2318,p2237,9,true,
t2318,p2295,10,true,
t2318,p2254,13,true,
t2318,p2232,14,true,
t2318,p2245,15,true,
t2318,p2161,16,true,
t2318,p2253,19,true,
t2318,p2231,20,true,
t2318,p2244,21,true,
t2318,p2162,22,true,
t2318,p2165,24,true,
t2318,p2160,32,true,
t2319,p2201,1,true,
t2319,p2200,2,true,
t2319,p2293,3,true,
t2319,p2239,4,true,
t2319,p2238,5,true,
t2319,p2237,6,true,
t2319,p2295,7,true,
t2320,p2291,2,true,
t2321,p2168,1,true,ug/ml
t2322,p2058,2,true,
t2322,p2035,3,true,
t2322,p2050,4,true,
t2322,p2067,5,true,
t2322,p2059,6,true,
t2322,p2063,7,true,
t2322,p2068,9,true,
t2322,p2071,11,true,
t2322,p2072,12,true,
t2322,p2064,13,true,
t2322,p2065,15,true,
t2322,p2033,16,true,
t2322,p2062,18,true,
t2322,p2053,20,true,
t2322,p2055,22,true,
t2323,p2015,1,true,
t2324,p2368,56,true,
t2325,p2150,1,true,
t2326,p2344,1,true,
t2328,p2006,1,true,
