parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2305,t2214,,,,,,,,,IU/mL,MANUAL_REVIEW: Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1
p2306,t2215,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative: < 0.8Equivocal: 0.8 to 0.9Positive: > 1.0
p2320,t2216,,,,,,,,,ng/ml,MANUAL_REVIEW: Males : 25 - 350Females : 13 - 232
p2322,t2217,,,,3.0-18.0,3.0,18.0,,,uIU/ml,
p2324,t2218,,,,,,,,,mmol/l,MANUAL_REVIEW: Therapeutic Level: 0.6 - 1.2Toxic Level: > 2.0
p2349,t2220,,,,,,,,,,MANUAL_REVIEW: Non-Reactive: < 0.9Borderline: 0.9 to 1.1Reactive: > 1.1
p2352,t2221,,,,,,,,,-,MANUAL_REVIEW: Negative
p2358,t2222,,,,,,0.6,,,RATIO,parsed as less_than from: Less Than 0.6
p2360,t2223,,,,,,30.0,,,mg/L,parsed as less_than from: Less Than 30
p2351,t2294,,,,,,0.1,,,ng/ml,parsed as less_than from: < 0.10
p2056,t2298,,,,,,,,,ng/mL,MANUAL_REVIEW: Female:< 10 years 0.08 - 10.610 - 20 -  0.62 - 10.921 - 30 -  0.08 - 10.231 - 40 -  0.15 - 10.641 - 50 -  0.08 - 6.12> 50    -  0.08 - 0.40Male:1 - 11  -  39.1 - 33012 - 20 -  1.15 - 142> 20    -  0.60 - 18.20
p2198,t2311,,,,,,,,,IU/ml,MANUAL_REVIEW: Negative < 5.0Borderline 5 - 10Positive >10.0
p2168,t2321,,,,,,0.5,,,ug/ml,parsed as less_than from: Less Than 0.5
p2150,t2325,,,,,,,,,mg/L,MANUAL_REVIEW: 0.0-1.35  Recommended that each laboratory   establish its own reference range.
p2362,t2114,,,,,,,,,,MANUAL_REVIEW: Negative
p2142,t2041,,,,,,,,,mg/dl,MANUAL_REVIEW: Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0
p2011,t2228,,,,3.5-5.5,3.5,5.5,,,g/dL,
p2014,t2229,,,,,,25.0,,,mg/dl,parsed as less_than from: Less Than 25
p2017,t2230,M,,,80.0-270.0,80.0,270.0,,,U/L,
p2017,t2230,F,,,65.0-2400.0,65.0,2400.0,,,U/L,
p2022,t2231,,,,35.0-120.0,35.0,120.0,,,U/L,
p2315,t2232,,,,22.0-29.0,22.0,29.0,,,mmol/L,
p2117,t2239,,,,0.9-1.8,0.9,1.8,,,g/l,
p2118,t2240,,,,10.0-40.0,10.0,40.0,,,mg/dl,
p2114,t2241,,,,,,,,,U/L,MANUAL_REVIEW: Men : 24 - 204Women : 24 - 173
p2316,t2242,,,,,,,,,mg/dl,MANUAL_REVIEW: Adult:8.4 - 10.2Children:7.6 - 11.0
p2126,t2244,,,,,,25.0,,,u/l,parsed as less_than from: Less Than 25
p2177,t2245,M,,,11.0-50.0,11.0,50.0,,,U/L,
p2177,t2245,F,,,7.0-32.0,7.0,32.0,,,U/L,
p2194,t2247,,,,,40.0,,,,mg/dl,parsed as greater_than from: Greater Than 40
p2223,t2249,,,,,,,,,U/L,MANUAL_REVIEW: Adult: 240-480
p2226,t2250,,,,,,,,,mg/dl,MANUAL_REVIEW: Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190
p2266,t2251,,,,,,,,,mg/dl,MANUAL_REVIEW: Adult: 2.5 - 5.0Child: 4.0 - 7.0
p2364,t2252,,,,,,,,,,MANUAL_REVIEW: Negative
p2307,t2255,M,,,,,37.0,,,U/L,
p2307,t2255,F,,,,,31.0,,,U/L,
p2330,t2256,M,,,,,45.0,,,U/L,
p2330,t2256,F,,,,,34.0,,,U/L,
p2317,t2257,,,,95.0-110.0,95.0,110.0,,,mmol/L,
p2318,t2258,,,,,,,,,mg/dl,MANUAL_REVIEW: Desirable: < 200Boderline High: 200 - 239High: > 240
p2178,t2261,,,,2.4-3.5,2.4,3.5,,,g/dl,
p2221,t2262,M,,,59.0-148.0,59.0,148.0,,,µg/dL,
p2221,t2262,F,,,37.0-145.0,37.0,145.0,,,µg/dL,
p2323,t2263,,,,10.0-60.0,10.0,60.0,,,U/l,
p2325,t2264,,,,,,,,,mg/dl,MANUAL_REVIEW: Newbonr 1.2 - 2.6Children 1.5 - 2.3Women 1.9 - 2.5Men 1.8 - 2.6
p2327,t2265,,,,3.4-5.5,3.4,5.5,,,mmol/L,
p2328,t2266,,,,135.0-148.0,135.0,148.0,,,mmol/L,
p2350,t2267,,,,,,,,,mg/dl,MANUAL_REVIEW: Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500
p2357,t2268,F,,,2.6-6.0,2.6,6.0,,,mg/dl,
p2357,t2268,M,,,3.5-7.2,3.5,7.2,,,mg/dl,
p2337,t2269,,,,274.0-385.0,274.0,385.0,,,µg/dL,
p2347,t2270,,,,,,,,,g/dL,MANUAL_REVIEW: Adult: 6.6 - 8.7ChildPre-matures: 3.4 - 5.0Newborns: 4.6 - 6.8Upto 1 Years: 6.0 - 8.0Above 1 Years: 4.8 - 7.6
p2105,t2272,,,,60.0-110.0,60.0,110.0,,,mg/dl,
p2326,t2302,,,,,,,,,mg/dl,MANUAL_REVIEW: Adults: 2.5 - 4.5Child:  4.0 - 7.0
p2330,t2303,,,,5.0-45.0,5.0,45.0,,,U/L,
p2329,t2304,,,,8.0-40.0,8.0,40.0,,,U/l,
p2015,t2323,,,,1.0-7.4,1.0,7.4,,,U/L,
p2344,t2326,,,,200.0-400.0,200.0,400.0,,,ug/dL,
