parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2271,t2043,,,,150.0-450.0,150.0,450.0,,,*10^9/l,
p2254,t2043,,,,40.0-70.0,40.0,70.0,,,%,
p2232,t2043,,,,25.0-40.0,25.0,40.0,,,%,
p2245,t2043,,,,2.0-10.0,2.0,10.0,,,%,
p2163,t2043,,,,1.0-5.0,1.0,5.0,,,%,
p2085,t2043,,,,0.0-1.0,0.0,1.0,,,%,
p2253,t2043,,,,2500.0-7000.0,2500.0,7000.0,,,/mm3,
p2231,t2043,,,,1500.0-4000.0,1500.0,4000.0,,,/mm3,
p2244,t2043,,,,200.0-1000.0,200.0,1000.0,,,/mm3,
p2162,t2043,,,,50.0-500.0,50.0,500.0,,,/mm3,
p2084,t2043,,,,0.0-100.0,0.0,100.0,,,/mm3,
p2165,t2043,M,,,,,14.0,,,mm/1st hr,
p2165,t2043,F,,,,,18.0,,,mm/1st hr,
p2145,t2057,,,,60.0-166.0,60.0,166.0,,,mg/dl,
p2124,t2057,,,,42.0-353.0,42.0,353.0,,,mg/L,
p2143,t2061,,,,0.5-1.5,0.5,1.5,,,G/24 hrs,
p2105,t2064,,,,60.0-110.0,60.0,110.0,,,mg/dl,
p2103,t2064,,,,60.0-140.0,60.0,140.0,,,mg/dl,
p2104,t2064,,,,,,180.0,,,mg/dl,parsed as less_than from: upto 180
p2196,t2065,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2196,t2065,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2293,t2065,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2200,t2065,,,,40.0-52.0,40.0,52.0,,,%,
p2239,t2065,,,,78.0-95.0,78.0,95.0,,,fl,
p2238,t2065,,,,27.0-32.0,27.0,32.0,,,pg,
p2237,t2065,,,,32.0-36.0,32.0,36.0,,,g/dl,
p2271,t2065,,,,150.0-450.0,150.0,450.0,,,*10^9/l,
p2371,t2065,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2232,t2065,,,,,,,,,%,"MANUAL_REVIEW: Adult: 25 - 40, Child: 45- 70"
p2254,t2065,,,,,,,,,%,"MANUAL_REVIEW: Adult: 55 - 70, Child: 20 - 45"
p2163,t2065,,,,,,,,,%,"MANUAL_REVIEW: Adult: 01 - 05, Child: 02 - 07"
p2245,t2065,,,,2.0-10.0,2.0,10.0,,,%,
p2085,t2065,,,,0.0-1.0,0.0,1.0,,,%,
p2184,t2065,,,,96.8-97.8,96.8,97.8,,,%,
p2187,t2065,,,,0.1-1.0,0.1,1.0,,,%,
p2185,t2065,,,,1.5-3.2,1.5,3.2,,,%,
p2254,t2068,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2068,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2068,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2068,,,,1.0-6.0,1.0,6.0,,,%,
p2085,t2068,,,,0.0-1.0,0.0,1.0,,,%,
p2299,t2072,,,,,,,,,%,MANUAL_REVIEW: Adult:   0.5 - 2.5Infant:  0.5 - 3.0Newborn: 2.5 - 6.5
p2005,t2072,,,,,,,,,10^12/l,MANUAL_REVIEW: 0.5-1.0 x 10^12/L
p2300,t2072,,,,,,,,,,MANUAL_REVIEW: RPI <2: inadequate marrow responseRPI =2: suggests adequate marrow response in anaemia
p2201,t2278,M,,,14.0-18.0,14.0,18.0,,,g/dl,
p2201,t2278,F,,,12.0-16.0,12.0,16.0,,,g/dl,
p2200,t2278,M,,,38.0-50.0,38.0,50.0,,,%,
p2200,t2278,F,,,36.0-46.0,36.0,46.0,,,%,
p2371,t2278,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2271,t2278,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2293,t2278,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2239,t2278,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2278,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2278,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2278,,,,11.0-16.0,11.0,16.0,,,%,
p2254,t2278,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2278,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2278,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2278,,,,1.0-6.0,1.0,6.0,,,%,
p2253,t2278,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2278,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2278,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2278,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2165,t2278,F,,,,,20.0,,,mm/1st hr,
p2165,t2278,M,,,,,10.0,,,mm/1st hr,
p2282,t2279,,,,9.5-14.0,9.5,14.0,,,Seconds,
p2216,t2279,,,,0.9-1.1,0.9,1.1,,,,
p2078,t2280,,,,,,,,,Sec,MANUAL_REVIEW: 34 Sec
p2132,t2280,,,,,,,,,Sec,MANUAL_REVIEW: 34 Sec
p2158,t2293,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2158,t2293,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2191,t2293,,,,,,,,,-,MANUAL_REVIEW: Negative
p2047,t2293,,,,,,,,,-,MANUAL_REVIEW: Negative
p2207,t2293,,,,,,,,,-,MANUAL_REVIEW: Negative
p2304,t2293,,,,,,,,,-,MANUAL_REVIEW: Negative
p2236,t2293,,,,,,,,,-,MANUAL_REVIEW: Negative
p2234,t2297,,,,,,,,,,MANUAL_REVIEW: Negative
p2235,t2297,,,,,,,,,,MANUAL_REVIEW: Negative
p2371,t2300,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2293,t2300,M,,,4.5-6.0,4.5,6.0,,,*10^12/l,
p2293,t2300,F,,,3.8-4.8,3.8,4.8,,,*10^12/l,
p2201,t2300,M,,,14.0-18.0,14.0,18.0,,,g/dl,
